CEP,Logradouro,Bairro,Cidade,UF
69309163,TRAVESSA A,BURITIS,BOA VISTA,RR
69305350,TRAVESSA EUSTÁQUIO JÚLIO DE MACEDO,TRINTA E UM DE MARÇO,BOA VISTA,RR
69309217,TRAVESSA JOSÉ FRANCISCO,BURITIS,BOA VISTA,RR
69312015,RUA ABRILINA PENA,JARDIM FLORESTA,BOA VISTA,RR
69309370,RUA DAS ACÁCIAS,PRICUMÃ,BOA VISTA,RR
69309360,ALAMEDA DAS ACÁCIAS,PRICUMÃ,BOA VISTA,RR
69314186,RUA DAS ACÁCIAS,JARDIM PRIMAVERA,BOA VISTA,RR
69309380,VIA DAS ACÁCIAS,PRICUMÃ,BOA VISTA,RR
69307530,RUA DO AÇAIZEIRO,CAÇARI,BOA VISTA,RR
69308010,RUA ACARAÍ,TREZE DE SETEMBRO,BOA VISTA,RR
69314124,RUA ACARÁ-AÇU,SANTA TEREZA,BOA VISTA,RR
69305510,RUA ACRE,ESTADOS,BOA VISTA,RR
69305020,RUA ADOLFO BRASIL,SÃO FRANCISCO,BOA VISTA,RR
69304030,RUA ADOLFO DUCKE,MECEJANA,BOA VISTA,RR
69311003,AVENIDA SABÁ CUNHA,CAUAMÉ,BOA VISTA,RR
69313085,RUA ÁGUAS MARINHAS (CJ C SERVIDOR),JÓQUEI CLUBE,BOA VISTA,RR
69301070,RUA AJURICABA,CENTRO,BOA VISTA,RR
69305560,RUA ALAGOAS,ESTADOS,BOA VISTA,RR
69304440,RUA ALFERES JOSÉ AGOSTINHO,MECEJANA,BOA VISTA,RR
69301420,RUA ALFERES PAULO SALDANHA - ATÉ 403/404,CENTRO,BOA VISTA,RR
69305260,RUA ALFERES PAULO SALDANHA - DE 405/406 AO FIM,SÃO FRANCISCO,BOA VISTA,RR
69312055,RUA ALMÉRIO MOTA PEREIRA,JARDIM FLORESTA,BOA VISTA,RR
69306330,RUA ÁLVARO MAIA,NOSSA SENHORA APARECIDA,BOA VISTA,RR
69303463,RUA AMAJARI,SÃO VICENTE,BOA VISTA,RR
69305520,RUA AMAPÁ,ESTADOS,BOA VISTA,RR
69305670,AVENIDA AMAZONAS,ESTADOS,BOA VISTA,RR
69304110,RUA AMÉLIO LAGO,MECEJANA,BOA VISTA,RR
69313075,RUA AMETISTA (CJ J CLUBE),JÓQUEI CLUBE,BOA VISTA,RR
69312058,RUA ANA CECÍLIA MOTA DA SILVA,JARDIM FLORESTA,BOA VISTA,RR
69306495,RUA ANA NERY,CANARINHO,BOA VISTA,RR
69304090,TRAVESSA ANAUÁ,MECEJANA,BOA VISTA,RR
69304540,AVENIDA TERÊNCIO LIMA,MECEJANA,BOA VISTA,RR
69306290,RUA ANGARICÓ,NOSSA SENHORA APARECIDA,BOA VISTA,RR
69305270,RUA ANTÔNIO AUGUSTO MARTINS,SÃO FRANCISCO,BOA VISTA,RR
