CEP,Logradouro,Bairro,Cidade,UF
69918703,RUA NELSON MESQUITA,SANTA QUITÉRIA,RIO BRANCO,AC
69911204,RUA TIÃO NATUREZA,PALHEIRAL,RIO BRANCO,AC
69901106,RUA AQUÁRIOS,MORADA DO SOL,RIO BRANCO,AC
69918350,RUA LONDRINA,NOVA ESTAÇÃO,RIO BRANCO,AC
69912208,AVENIDA ADALBERTO SENA,PLÁCIDO DE CASTRO,RIO BRANCO,AC
69900400,RUA ALAGOAS,BOSQUE,RIO BRANCO,AC
69900556,RUA DA ALEGRIA,BOSQUE,RIO BRANCO,AC
69905244,RUA ALÉRCIO DIAS,CADEIA VELHA,RIO BRANCO,AC
69918194,RUA ALEXANDRE LEITÃO,ESTAÇÃO EXPERIMENTAL,RIO BRANCO,AC
69912198,RUA ALUÍZIO BEZERRA,PLÁCIDO DE CASTRO,RIO BRANCO,AC
69900866,RUA ÁLVARO DANTAS,AVIÁRIO,RIO BRANCO,AC
69905060,TRAVESSA AMAPÁ,CERÂMICA,RIO BRANCO,AC
69905074,RUA AMAZONAS,CERÂMICA,RIO BRANCO,AC
69911458,RUA ANA NERY,JOÃO EDUARDO I,RIO BRANCO,AC
69900857,TRAVESSA FLUMINENSE,AVIÁRIO,RIO BRANCO,AC
69911066,RUA ANTÔNIO BOTO,AEROPORTO VELHO,RIO BRANCO,AC
69900415,RUA ANTÔNIO CAMELO,BOSQUE,RIO BRANCO,AC
69911434,RUA ANTÔNIO JOSÉ NOGUEIRA,JOÃO EDUARDO I,RIO BRANCO,AC
69900481,RUA ANTUNES DE ALENCAR,BOSQUE,RIO BRANCO,AC
69917542,ALAMEDA ARARAS,CHÁCARA IPÊ,RIO BRANCO,AC
69911096,RUA ARI RODRIGUES,AEROPORTO VELHO,RIO BRANCO,AC
69918046,RUA ARI RODRIGUES,ABRAÃO ALAB,RIO BRANCO,AC
69900058,RUA ARLINDO PORTO LEAL,CENTRO,RIO BRANCO,AC
69915422,ALAMEDA IRLANDA,JARDIM EUROPA,RIO BRANCO,AC
69915461,ALAMEDA VENEZA,JARDIM EUROPA,RIO BRANCO,AC
69917536,ALAMEDA AZALÉAS,CHÁCARA IPÊ,RIO BRANCO,AC
69912470,RUA B,FLORESTA SUL,RIO BRANCO,AC
69906422,TRAVESSA BAGUARÍ,TAQUARÍ,RIO BRANCO,AC
69900547,RUA BARÃO DO RIO BRANCO,BOSQUE,RIO BRANCO,AC
69900004,RUA BARBOSA LIMA,BASE,RIO BRANCO,AC
69915449,ALAMEDA BARCELONA,JARDIM EUROPA,RIO BRANCO,AC
69905428,RUA BARRA DO SOL,CIDADE NOVA,RIO BRANCO,AC
69900541,RUA BARTOLOMEU BUENO,BOSQUE,RIO BRANCO,AC
69900673,RUA BARTOLOMEU DIAS,BOSQUE,RIO BRANCO,AC
69918816,TRAVESSA BEIRA RIO,CONQUISTA,RIO BRANCO,AC
69900064,RUA BENJAMIN CONSTANT - DE 499 A 1239 - LADO ÍMPAR,CENTRO,RIO BRANCO,AC
69900043,RUA BENJAMIN CONSTANT - DE 1241/1242 AO FIM,BASE,RIO BRANCO,AC
69905064,TRAVESSA BENJAMIM CONSTANT,CERÂMICA,RIO BRANCO,AC
69905410,RUA BODOCÓ,CIDADE NOVA,RIO BRANCO,AC
69918306,RUA BOM DESTINO,ISAURA PARENTE,RIO BRANCO,AC
69900076,AVENIDA BRASIL - LADO ÍMPAR,CENTRO,RIO BRANCO,AC
69900078,AVENIDA BRASIL - LADO PAR,CENTRO,RIO BRANCO,AC
69912464,RUA C,FLORESTA SUL,RIO BRANCO,AC
69901537,RUA C,SÃO FRANCISCO,RIO BRANCO,AC
69905660,TRAVESSA CABANELAS,SEIS DE AGOSTO,RIO BRANCO,AC
69918294,RUA CANINDÉ,ISAURA PARENTE,RIO BRANCO,AC
69918062,RUA CARMÓPOLIS,ABRAÃO ALAB,RIO BRANCO,AC
69900054,PRAÇA DOS CATRAEIROS,CENTRO,RIO BRANCO,AC
69905617,TRAVESSA CEARENSE,SEIS DE AGOSTO,RIO BRANCO,AC
69905454,RUA COELHO RAMOS,CIDADE NOVA,RIO BRANCO,AC
69915446,ALAMEDA COIMBRA,JARDIM EUROPA,RIO BRANCO,AC
